,type,year,quarter,application,order_type,adopter,adopted_child_sex,adopted_child_age,count
0,Application,2011,1,Adoption,Convention,M/F couple,n/a,n/a,5
1,Application,2011,1,Adoption,Convention,Sole applicant,n/a,n/a,3
2,Application,2011,2,Adoption,Convention,M/F couple,n/a,n/a,3
3,Application,2011,3,Adoption,Convention,M/F couple,n/a,n/a,1
4,Application,2011,4,Adoption,Convention,M/F couple,n/a,n/a,1
5,Application,2012,1,Adoption,Convention,M/F couple,n/a,n/a,1
6,Application,2012,2,Adoption,Convention,M/F couple,n/a,n/a,5
7,Application,2012,3,Adoption,Convention,M/F couple,n/a,n/a,3
8,Application,2012,4,Adoption,Convention,M/F couple,n/a,n/a,3
9,Application,2012,4,Adoption,Convention,Sole applicant,n/a,n/a,3
10,Application,2013,1,Adoption,Convention,M/F couple,n/a,n/a,4
11,Application,2013,1,Adoption,Convention,Sole applicant,n/a,n/a,1
12,Application,2013,2,Adoption,Convention,M/F couple,n/a,n/a,4
13,Application,2013,2,Adoption,Convention,Sole applicant,n/a,n/a,1
14,Application,2013,3,Adoption,Convention,M/F couple,n/a,n/a,3
15,Application,2013,3,Adoption,Convention,Sole applicant,n/a,n/a,1
16,Application,2013,4,Adoption,Convention,M/F couple,n/a,n/a,1
17,Application,2013,4,Adoption,Convention,Other or not stated,n/a,n/a,1
18,Application,2013,4,Adoption,Convention,Same sex couple,n/a,n/a,1
19,Application,2014,1,Adoption,Convention,M/F couple,n/a,n/a,5
20,Application,2014,2,Adoption,Convention,M/F couple,n/a,n/a,2
21,Application,2014,3,Adoption,Convention,M/F couple,n/a,n/a,3
22,Application,2014,3,Adoption,Convention,Sole applicant,n/a,n/a,1
23,Application,2014,4,Adoption,Convention,M/F couple,n/a,n/a,4
24,Application,2015,1,Adoption,Convention,M/F couple,n/a,n/a,3
25,Application,2015,2,Adoption,Convention,M/F couple,n/a,n/a,3
26,Application,2015,3,Adoption,Convention,M/F couple,n/a,n/a,2
27,Application,2015,3,Adoption,Convention,Other or not stated,n/a,n/a,1
28,Application,2015,3,Adoption,Convention,Same sex couple,n/a,n/a,1
29,Application,2015,3,Adoption,Convention,Sole applicant,n/a,n/a,1
30,Application,2015,4,Adoption,Convention,M/F couple,n/a,n/a,1
31,Application,2016,1,Adoption,Convention,M/F couple,n/a,n/a,1
32,Application,2016,1,Adoption,Convention,Step parent,n/a,n/a,1
33,Application,2016,2,Adoption,Convention,Other or not stated,n/a,n/a,1
34,Application,2016,4,Adoption,Convention,M/F couple,n/a,n/a,4
35,Application,2016,4,Adoption,Convention,Other or not stated,n/a,n/a,2
36,Application,2016,4,Adoption,Convention,Step parent,n/a,n/a,1
