,category,stage,year,quarter,dfj_new,region,count,cases
0,Adoption,End,2011,1,Central Family Court,LONDON,104,103
1,Adoption,Start,2011,1,Central Family Court,LONDON,142,142
2,Adoption,End,2011,1,East London Family Court,LONDON,15,15
3,Adoption,Start,2011,1,East London Family Court,LONDON,16,16
4,Adoption,End,2011,1,West London Family Court,LONDON,26,26
5,Adoption,Start,2011,1,West London Family Court,LONDON,17,17
6,Adoption,End,2011,1,Birmingham DJF,MIDLANDS,39,38
7,Adoption,Start,2011,1,Birmingham DJF,MIDLANDS,37,37
8,Adoption,End,2011,1,Coventry DFJ,MIDLANDS,23,23
9,Adoption,Start,2011,1,Coventry DFJ,MIDLANDS,30,30
10,Adoption,End,2011,1,Derby DFJ,MIDLANDS,23,23
11,Adoption,Start,2011,1,Derby DFJ,MIDLANDS,31,31
12,Adoption,End,2011,1,Leicester DFJ,MIDLANDS,9,9
13,Adoption,Start,2011,1,Leicester DFJ,MIDLANDS,17,17
14,Adoption,End,2011,1,Lincoln DFJ,MIDLANDS,12,12
15,Adoption,Start,2011,1,Lincoln DFJ,MIDLANDS,9,9
16,Adoption,End,2011,1,Northampton DFJ,MIDLANDS,9,9
17,Adoption,Start,2011,1,Northampton DFJ,MIDLANDS,7,7
18,Adoption,End,2011,1,Nottingham DFJ,MIDLANDS,16,16
19,Adoption,Start,2011,1,Nottingham DFJ,MIDLANDS,29,29
20,Adoption,End,2011,1,Stoke on Trent DFJ,MIDLANDS,9,9
21,Adoption,Start,2011,1,Stoke on Trent DFJ,MIDLANDS,9,9
22,Adoption,End,2011,1,Wolverhampton DFJ,MIDLANDS,34,34
23,Adoption,Start,2011,1,Wolverhampton DFJ,MIDLANDS,37,37
24,Adoption,End,2011,1,Worcester DFJ,MIDLANDS,12,12
25,Adoption,Start,2011,1,Worcester DFJ,MIDLANDS,8,8
26,Adoption,End,2011,1,Cleveland and South Durham DFJ,NORTH EAST,27,27
27,Adoption,Start,2011,1,Cleveland and South Durham DFJ,NORTH EAST,37,37
28,Adoption,End,2011,1,Kingston-upon-Hull DFJ,NORTH EAST,12,12
29,Adoption,Start,2011,1,Kingston-upon-Hull DFJ,NORTH EAST,31,31
30,Adoption,End,2011,1,Leeds DFJ,NORTH EAST,42,42
31,Adoption,Start,2011,1,Leeds DFJ,NORTH EAST,58,58
32,Adoption,End,2011,1,Newcastle upon Tyne DFJ,NORTH EAST,31,31
33,Adoption,Start,2011,1,Newcastle upon Tyne DFJ,NORTH EAST,60,60
34,Adoption,End,2011,1,Sheffield DFJ,NORTH EAST,33,33
35,Adoption,Start,2011,1,Sheffield DFJ,NORTH EAST,53,53
36,Adoption,End,2011,1,York DFJ,NORTH EAST,26,26
37,Adoption,Start,2011,1,York DFJ,NORTH EAST,25,25
38,Adoption,End,2011,1,Carlisle DFJ,NORTH WEST,4,4
39,Adoption,Start,2011,1,Carlisle DFJ,NORTH WEST,13,13
40,Adoption,End,2011,1,Liverpool DFJ,NORTH WEST,38,37
41,Adoption,Start,2011,1,Liverpool DFJ,NORTH WEST,55,55
42,Adoption,End,2011,1,Manchester DFJ,NORTH WEST,74,73
43,Adoption,Start,2011,1,Manchester DFJ,NORTH WEST,84,84
44,Adoption,End,2011,1,Preston DFJ,NORTH WEST,21,21
45,Adoption,Start,2011,1,Preston DFJ,NORTH WEST,36,36
46,Adoption,End,2011,1,Brighton DFJ,SOUTH EAST,36,36
47,Adoption,Start,2011,1,Brighton DFJ,SOUTH EAST,49,49
48,Adoption,End,2011,1,Chelmsford DFJ,SOUTH EAST,38,38
49,Adoption,Start,2011,1,Chelmsford DFJ,SOUTH EAST,67,67
50,Adoption,End,2011,1,Guildford DFJ,SOUTH EAST,17,17
51,Adoption,Start,2011,1,Guildford DFJ,SOUTH EAST,11,11
52,Adoption,End,2011,1,Luton DFJ,SOUTH EAST,2,2
53,Adoption,Start,2011,1,Luton DFJ,SOUTH EAST,2,2
54,Adoption,End,2011,1,Medway DFJ,SOUTH EAST,7,7
55,Adoption,Start,2011,1,Medway DFJ,SOUTH EAST,38,38
56,Adoption,End,2011,1,Milton Keynes DFJ,SOUTH EAST,8,8
57,Adoption,Start,2011,1,Milton Keynes DFJ,SOUTH EAST,14,14
58,Adoption,End,2011,1,Norwich DFJ,SOUTH EAST,34,34
59,Adoption,Start,2011,1,Norwich DFJ,SOUTH EAST,50,50
60,Adoption,End,2011,1,Oxford DFJ,SOUTH EAST,14,14
61,Adoption,Start,2011,1,Oxford DFJ,SOUTH EAST,16,16
62,Adoption,End,2011,1,Peterborough DFJ,SOUTH EAST,19,19
63,Adoption,Start,2011,1,Peterborough DFJ,SOUTH EAST,25,25
64,Adoption,End,2011,1,Reading DFJ,SOUTH EAST,11,11
65,Adoption,Start,2011,1,Reading DFJ,SOUTH EAST,21,21
66,Adoption,End,2011,1,Watford DFJ,SOUTH EAST,18,18
67,Adoption,Start,2011,1,Watford DFJ,SOUTH EAST,9,9
68,Adoption,End,2011,1,Bournemouth and Poole DFJ,SOUTH WEST,18,18
69,Adoption,Start,2011,1,Bournemouth and Poole DFJ,SOUTH WEST,15,15
70,Adoption,End,2011,1,Bristol DFJ,SOUTH WEST,34,34
71,Adoption,Start,2011,1,Bristol DFJ,SOUTH WEST,14,14
72,Adoption,End,2011,1,Devon DFJ,SOUTH WEST,29,28
73,Adoption,Start,2011,1,Devon DFJ,SOUTH WEST,24,24
74,Adoption,Start,2011,1,Plymouth DFJ,SOUTH WEST,1,1
75,Adoption,End,2011,1,Portsmouth DFJ,SOUTH WEST,33,32
76,Adoption,Start,2011,1,Portsmouth DFJ,SOUTH WEST,40,40
77,Adoption,End,2011,1,Swindon DFJ,SOUTH WEST,15,15
78,Adoption,Start,2011,1,Swindon DFJ,SOUTH WEST,14,14
79,Adoption,End,2011,1,Taunton DFJ,SOUTH WEST,6,6
80,Adoption,Start,2011,1,Taunton DFJ,SOUTH WEST,12,12
81,Adoption,End,2011,1,Truro DFJ,SOUTH WEST,14,14
82,Adoption,Start,2011,1,Truro DFJ,SOUTH WEST,11,11
83,Adoption,End,2011,1,Caernarfon DFJ,WALES,1,1
84,Adoption,Start,2011,1,Caernarfon DFJ,WALES,2,2
85,Adoption,End,2011,1,Cardiff DFJ,WALES,16,16
86,Adoption,Start,2011,1,Cardiff DFJ,WALES,6,6
87,Adoption,End,2011,1,South East Wales DFJ,WALES,45,43
88,Adoption,Start,2011,1,South East Wales DFJ,WALES,51,51
89,Adoption,End,2011,1,Swansea DFJ,WALES,28,28
90,Adoption,Start,2011,1,Swansea DFJ,WALES,22,22
